# 附注：r2 epoch 轨迹（训练进行中实时摘录）
# epoch, train_loss, val_loss, wall_s
r2_epoch1,0.0938,0.0672,2241
r2_epoch2,0.0632,0.0671,4479
r2_epoch3,0.0620,0.0684,6701
r2_epoch4,0.0614,0.0685,8920
r2_epoch5,0.0609,0.0692,11142
r2_epoch6,0.0606,0.0691,13369
r2_epoch7,0.0603,0.0693,15428
# 结论：val_loss 在 epoch 2 收敛（0.0671），之后单调微升=轻微过拟合。证实 EPOCHS=4 足够。
